label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
not fallen,0.2622902,0.25051323,0.26517656,0.22617517,0.23530209,0.22633687,0.0,0.0,0.17961553,0.2435679,0.2576412,0.35802278,0.16266263,0.40788427,0.34183368,0.4835274,0.18695088,0.6414252,0.40621662,0.51711386,0.27725083,0.49850485,0.35862523,0.66939104,0.30129623,0.705561,0.55303556,0.6287576,0.5431721,0.5789013,0.59705096,0.7610452,0.6465754,0.7038445
not fallen,0.5032319,0.19337454,0.51243633,0.18313222,0.49443212,0.18459249,0.5257843,0.194979,0.0,0.0,0.55388016,0.27088386,0.45972535,0.27155384,0.5668366,0.3624781,0.4502061,0.35466036,0.5071,0.36259684,0.47489998,0.36732146,0.54003584,0.46228606,0.47494563,0.46126175,0.54134566,0.6160702,0.47461373,0.6150129,0.54646426,0.7800223,0.47275186,0.7721724
fall,0.26062408,0.7037472,0.25040683,0.6925643,0.24952018,0.7215372,0.26212293,0.6709619,0.0,0.0,0.30117878,0.6423516,0.31949794,0.7254475,0.34183034,0.56360006,0.35317796,0.6744416,0.3592312,0.48423702,0.35753462,0.529798,0.40595824,0.6139115,0.41726312,0.65362245,0.3724497,0.52396595,0.38616437,0.5750378,0.4818085,0.49341536,0.49906087,0.48701698
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41460297,0.0,0.0,0.0,0.3989813,0.074038945,0.0,0.0,0.3716133,0.072027564,0.3267212,0.07387761,0.3721599,0.23895136,0.3620956,0.24113248,0.3927395,0.39002123,0.39481243,0.37615138
fall,0.53600806,0.33977315,0.5334607,0.32006475,0.5281937,0.32862756,0.56001633,0.27776346,0.0,0.0,0.6315625,0.26737627,0.5761254,0.28475377,0.68540657,0.39520994,0.5712431,0.4247739,0.7009379,0.4816021,0.5587703,0.55122834,0.7717392,0.24339433,0.7371292,0.26013792,0.73150563,0.40581694,0.70043534,0.4320447,0.7734399,0.5379032,0.71249866,0.54412
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23516405,0.05890453,0.19418947,0.06198118,0.25302666,0.1895233,0.22877704,0.19652897,0.25754437,0.33840078,0.23921762,0.35002956
not fallen,0.32898793,0.4192558,0.0,0.0,0.3235638,0.4099287,0.0,0.0,0.30470294,0.4175372,0.27150336,0.48342535,0.28866953,0.4778741,0.0,0.0,0.33322096,0.58179015,0.0,0.0,0.34238604,0.6002063,0.23088752,0.6573741,0.24073353,0.6595144,0.3479209,0.6106271,0.3566608,0.6025494,0.36737156,0.76291895,0.37538788,0.76393104
not fallen,0.5084189,0.31745338,0.53087944,0.2921484,0.4911592,0.2752479,0.0,0.0,0.4299024,0.2561136,0.5106927,0.39619157,0.3400597,0.49713722,0.6713089,0.4255496,0.37166846,0.7793033,0.561088,0.26655373,0.5223102,0.7068259,0.63373935,0.7734538,0.53867835,0.8532098,0.75033444,0.5668247,0.74347275,0.6739652,0.85434514,0.7678761,0.8884949,0.98298275
fall,0.70526844,0.522324,0.7282817,0.54017067,0.7273205,0.50210625,0.71486634,0.58542985,0.71827143,0.49306923,0.5541498,0.6499481,0.6662219,0.49073657,0.44073993,0.7466822,0.71284693,0.36415586,0.46098408,0.81018496,0.6831953,0.2702282,0.3656036,0.5328322,0.4216496,0.46888858,0.38160095,0.34695348,0.3558653,0.3295228,0.48970872,0.19286561,0.43365952,0.2610796
fall,0.81109536,0.58203995,0.8254792,0.6130824,0.0,0.0,0.81698346,0.68591434,0.0,0.0,0.7199586,0.6913378,0.78318566,0.58657724,0.5834725,0.6310217,0.68128747,0.47808877,0.6057327,0.44638646,0.62525,0.3990197,0.52475464,0.5864534,0.5613296,0.51785636,0.43057624,0.5996599,0.45295423,0.50499433,0.33871546,0.5680394,0.353639,0.5084743
