                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1552,                 10.082,                      0,                 2.4128,                 1.5056,                0.55979,                 0.6047,                0.60762,                0.34988,                  2e-05,                0.00671,                  1e-05,                      0,                    nan,                 11.081,                      0,                    nan,                    nan,             0.00055468,             0.00055468,             0.00055468
                      2,                 1.4085,                 9.4771,                      0,                 2.2491,                 1.6601,                0.45692,                  0.498,                0.48987,                0.24419,                      0,                      0,                      0,                      0,                    nan,                 11.011,                      0,                    nan,                    nan,              0.0010994,              0.0010994,              0.0010994
                      3,                 1.5392,                 9.5512,                      0,                 2.2042,                   1.75,                0.37016,                 0.4682,                0.39563,                0.18686,                  6e-05,                0.00709,                  3e-05,                  1e-05,                    nan,                 10.893,                      0,                    nan,                    nan,               0.001633,               0.001633,               0.001633
                      4,                 1.5956,                 9.2116,                      0,                 2.2982,                 1.7974,                 0.3795,                0.42018,                0.36394,                0.15661,                0.00023,                0.00373,                  3e-05,                      0,                    nan,                 10.784,                      0,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5669,                 9.0823,                      0,                 2.2773,                 1.7651,                0.40455,                0.45327,                0.42091,                  0.219,                0.01181,                0.00373,                 0.0001,                  1e-05,                    nan,                 10.613,                      0,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      6,                 1.4957,                  8.915,                      0,                 2.1625,                 1.7301,                0.37592,                0.55171,                0.45612,                0.21934,                  5e-05,                0.00336,                  3e-05,                      0,                    nan,                 10.648,                      0,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4914,                 9.0069,                      0,                 2.1143,                 1.7255,                0.47726,                0.54841,                0.51792,                0.27563,                0.51415,                0.00373,                0.00018,                  2e-05,                    nan,                 10.443,                      0,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                 1.4505,                 8.8278,                      0,                 2.1244,                 1.6856,                0.50647,                0.53721,                0.48603,                0.27464,                 0.0287,                0.00746,                 0.0006,                  6e-05,                    nan,                   10.4,                      0,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4119,                 8.7401,                      0,                 1.9487,                 1.6493,                0.54065,                0.53692,                0.54306,                0.27717,                 0.0174,                0.01866,                 0.0012,                0.00012,                    nan,                 10.282,                      0,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     10,                 1.3832,                 8.5898,                      0,                 1.8912,                 1.6067,                0.45855,                0.56218,                0.46399,                0.25441,                0.03626,                0.01866,                0.00859,                0.00086,                    nan,                 10.291,                      0,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3925,                 8.7643,                      0,                 1.8818,                 1.6355,                0.52469,                0.55432,                 0.5761,                0.33089,                0.00521,                0.00746,                0.00029,                  3e-05,                    nan,                 10.327,                      0,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     12,                 1.3773,                 8.5277,                      0,                 1.8325,                 1.6516,                0.46561,                0.55495,                 0.5693,                0.32097,                0.03487,                0.02239,                0.00232,                0.00025,                    nan,                 10.265,                      0,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3754,                 8.4177,                      0,                 1.8732,                 1.6215,                0.50839,                0.45544,                0.50771,                0.28075,                0.05884,                0.01082,                0.00214,                0.00021,                    nan,                  10.29,                      0,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     14,                  1.372,                 8.4417,                      0,                 1.8497,                  1.622,                0.58317,                0.49011,                0.53418,                0.30156,                0.00013,                0.00373,                  6e-05,                  1e-05,                    nan,                 10.301,                      0,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2882,                  8.455,                      0,                 1.7866,                 1.5815,                0.51177,                0.59968,                0.58086,                 0.3418,                0.00452,                0.01119,                0.00044,                  6e-05,                    nan,                 10.239,                      0,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     16,                 1.2899,                 8.3251,                      0,                 1.7192,                 1.5487,                0.55311,                0.58041,                0.59895,                 0.3574,                0.01982,                0.01866,                0.00173,                0.00019,                    nan,                 10.216,                      0,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2433,                 8.1576,                      0,                 1.6888,                 1.5307,                0.65868,                0.55618,                0.61028,                0.36641,                0.03022,                0.02239,                 0.0024,                0.00024,                    nan,                 10.196,                      0,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2346,                 8.2095,                      0,                 1.6867,                 1.5141,                0.64127,                0.57888,                0.61482,                0.38118,                 0.0104,                0.01119,                 0.0013,                0.00014,                    nan,                 10.112,                      0,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2488,                 8.1376,                      0,                 1.6843,                 1.5509,                0.59683,                0.59754,                0.59934,                0.36765,                 0.0381,                0.04104,                0.00614,                 0.0008,                    nan,                 10.151,                      0,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1968,                 7.9795,                      0,                 1.6572,                 1.5013,                0.54873,                0.53073,                0.52371,                0.29528,                0.00144,                0.00373,                0.00043,                  4e-05,                    nan,                  10.08,                      0,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
