                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.207,                 10.013,                      0,                 2.3052,                 1.5246,                0.35964,                0.54277,                0.39472,                0.19801,                0.00018,                0.04789,                0.00011,                  5e-05,                    nan,                 11.036,                      0,                    nan,                    nan,             0.00055443,             0.00055443,             0.00055443
                      2,                 1.4441,                 9.5213,                      0,                 2.2039,                 1.6786,                0.25734,                0.52926,                0.31699,                0.16139,                0.00011,                0.01904,                  6e-05,                  3e-05,                    nan,                 10.731,                      0,                    nan,                    nan,              0.0010991,              0.0010991,              0.0010991
                      3,                 1.5356,                 9.2852,                      0,                 2.2511,                 1.7517,                0.20317,                0.47871,                0.22054,                0.09526,                0.00514,                0.01081,                0.00034,                  9e-05,                    nan,                 10.781,                      0,                    nan,                    nan,              0.0016328,              0.0016328,              0.0016328
                      4,                 1.5573,                 9.0887,                      0,                 2.2523,                 1.7785,                0.24942,                0.43711,                0.23155,                0.11082,                0.01912,                0.04978,                0.00292,                0.00036,                    nan,                 10.521,                      0,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5598,                 8.9933,                      0,                 2.2405,                 1.7937,                0.26333,                0.27919,                0.20783,                0.07861,                0.00137,                 0.0027,                0.00043,                0.00018,                    nan,                 10.621,                      0,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      6,                 1.5307,                 8.8236,                      0,                 2.1724,                 1.7385,                0.24047,                0.38696,                0.23089,                0.10769,                 0.0048,                0.01194,                0.00039,                  5e-05,                    nan,                 10.557,                      0,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4704,                 8.7725,                      0,                 2.0827,                 1.7194,                 0.3296,                0.33706,                 0.2715,                0.13588,                0.03817,                0.03369,                0.00688,                0.00171,                    nan,                 10.329,                      0,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                 1.4546,                 8.6248,                      0,                 2.0795,                 1.6986,                0.25766,                0.46974,                 0.2544,                0.12664,                0.03637,                0.03143,                 0.0043,                0.00072,                    nan,                 10.314,                      0,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.454,                 8.4733,                      0,                 2.0487,                  1.702,                0.36051,                0.56584,                0.41125,                0.21231,                0.17924,                0.07096,                0.02581,                0.00615,                    nan,                 10.226,                      0,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     10,                 1.4286,                  8.317,                      0,                 2.0253,                 1.6761,                0.31866,                 0.4613,                0.32292,                0.16848,                 0.1376,                0.06027,                 0.0357,                0.00817,                    nan,                 10.272,                      0,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4022,                 8.3413,                      0,                 2.0707,                 1.6597,                0.27728,                0.50935,                0.29436,                0.14427,                0.11347,                0.05091,                0.01284,                0.00249,                    nan,                 10.213,                      0,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     12,                   1.39,                 8.3383,                      0,                 2.0179,                 1.6379,                0.34993,                0.46098,                0.32025,                0.17548,                0.02727,                0.06015,                0.01081,                0.00275,                    nan,                 10.146,                      0,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.319,                 8.2623,                      0,                 1.9229,                 1.5909,                 0.3458,                0.44955,                0.34559,                0.18232,                 0.0563,                0.03627,                0.00628,                0.00106,                    nan,                 10.165,                      0,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     14,                 1.3091,                 8.2841,                      0,                 1.8677,                 1.5762,                0.43772,                0.48878,                0.42735,                0.24591,                0.06052,                0.05204,                0.01268,                0.00205,                    nan,                 10.044,                      0,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3372,                 8.1054,                      0,                 1.9155,                 1.6253,                0.34414,                 0.5334,                0.38199,                0.20487,                0.04845,                0.06184,                0.00866,                0.00141,                    nan,                 10.103,                      0,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     16,                    1.3,                 7.9434,                      0,                  1.867,                 1.5791,                0.35023,                0.53655,                 0.3788,                0.21003,                0.07446,                0.05757,                0.02038,                0.00415,                    nan,                 10.066,                      0,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2092,                 8.0177,                      0,                 1.7909,                  1.491,                 0.3277,                0.69255,                0.45584,                0.26775,                 0.1141,                0.11162,                0.02771,                0.00684,                    nan,                 9.9483,                      0,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2852,                 7.9187,                      0,                 1.8385,                 1.5676,                0.34172,                 0.5793,                0.43324,                0.23419,                0.16845,                0.09855,                0.02863,                0.00494,                    nan,                  9.958,                      0,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2352,                 7.8537,                      0,                 1.7861,                 1.5307,                0.43147,                0.49237,                 0.4099,                 0.2364,                0.11095,                0.07536,                0.02882,                0.00502,                    nan,                 9.9505,                      0,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1896,                 7.7973,                      0,                 1.8387,                 1.4969,                0.39937,                 0.6303,                0.44302,                0.23408,                0.07736,                0.11388,                 0.0364,                0.00774,                    nan,                 9.9525,                      0,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.2085,                 7.7864,                      0,                  1.763,                 1.5128,                0.31273,                0.55227,                0.37256,                0.19879,                0.08448,                0.07342,                0.01081,                0.00269,                    nan,                 9.9547,                      0,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.2155,                 7.8179,                      0,                 1.7548,                 1.4981,                0.38774,                0.65835,                0.44032,                0.24803,                0.05559,                0.09541,                0.02406,                0.00439,                    nan,                 9.8974,                      0,                    nan,                    nan,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1998,                 7.7246,                      0,                 1.7512,                 1.5339,                0.42314,                0.61712,                0.46521,                0.27852,                0.05972,                0.08391,                 0.0162,                0.00286,                    nan,                 9.8647,                      0,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1524,                 7.7351,                      0,                 1.7107,                 1.4962,                 0.4497,                0.61404,                0.49382,                0.29524,                0.13255,                 0.0856,                0.02324,                0.00567,                    nan,                 9.9122,                      0,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1697,                 7.5822,                      0,                  1.668,                 1.4972,                0.37064,                0.67938,                0.42339,                0.23497,                0.08388,                0.13268,                 0.0409,                0.01018,                    nan,                 9.8217,                      0,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1545,                 7.5859,                      0,                 1.6846,                 1.4887,                0.42541,                0.63107,                0.46399,                0.28419,                0.15339,                0.09868,                0.03425,                0.00704,                    nan,                 9.8333,                      0,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1605,                 7.4433,                      0,                 1.6577,                 1.4783,                0.39371,                0.70849,                0.48597,                0.26781,                 0.1496,                0.04732,                0.01942,                 0.0031,                    nan,                 9.8791,                      0,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1405,                 7.5534,                      0,                 1.6001,                  1.465,                0.39589,                0.70203,                0.41497,                0.21674,                0.08769,                0.10295,                 0.0297,                 0.0065,                    nan,                 9.8755,                      0,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     29,                  1.117,                 7.5464,                      0,                 1.5863,                  1.452,                0.34252,                0.67765,                0.40763,                0.22518,                 0.0694,                0.10791,                0.02799,                0.00529,                    nan,                 9.7939,                      0,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1326,                 7.4837,                      0,                 1.5874,                  1.461,                0.36348,                0.64648,                0.42115,                0.23448,                0.08196,                 0.0856,                0.02593,                0.00606,                    nan,                 9.8785,                      0,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1587,                 7.5171,                      0,                 1.6449,                 1.4783,                 0.3742,                0.53748,                0.39935,                0.24828,                0.06106,                0.10194,                0.02446,                0.00487,                    nan,                 9.8178,                      0,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     32,                  1.091,                 7.5111,                      0,                 1.5733,                 1.4445,                0.38289,                0.61638,                0.45453,                0.25018,                 0.0939,                 0.1247,                0.03346,                0.00595,                    nan,                 9.7864,                      0,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1017,                 7.4299,                      0,                 1.6006,                 1.4324,                0.50364,                 0.6842,                0.55565,                0.34679,                0.14031,                 0.1159,                0.03258,                0.00622,                    nan,                 9.7562,                      0,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0705,                 7.2743,                      0,                 1.5401,                 1.4148,                0.41021,                0.64846,                0.48708,                0.26599,                0.14143,                0.10949,                0.03477,                0.00808,                    nan,                 9.7028,                      0,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0614,                 7.4501,                      0,                 1.5675,                 1.4119,                0.34378,                0.63703,                 0.3904,                0.21887,                0.08593,                0.08145,                0.02542,                0.00494,                    nan,                 9.8172,                      0,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
