                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4403,                 7.3221,                0.53914,                 2.3039,                  1.761,                0.57007,                0.65043,                0.63143,                0.28611,                 0.1795,                0.15206,                0.06346,                0.00939,                    nan,                 11.182,                 1.2218,                    nan,                    nan,             0.00055359,             0.00055359,             0.00055359
                      2,                 1.5751,                 7.3807,                0.50748,                 2.1134,                 1.8769,                0.53976,                0.64448,                0.62495,                0.27855,                0.14341,                0.05952,                0.05009,                0.00705,                    nan,                 11.095,                 0.9236,                    nan,                    nan,              0.0010983,              0.0010983,              0.0010983
                      3,                 1.6482,                 7.6698,                0.50999,                 2.0746,                 1.8706,                0.52812,                0.62725,                 0.5827,                 0.2802,                0.00167,                 0.0119,                0.00031,                  4e-05,                    nan,                  11.16,                0.95188,                    nan,                    nan,               0.001632,               0.001632,               0.001632
                      4,                 1.7219,                 7.6856,                0.50368,                 2.0682,                  1.963,                0.43625,                0.56872,                0.50935,                0.22745,                0.04824,                0.05952,                0.00791,                0.00119,                    nan,                 11.208,                 1.0631,                    nan,                    nan,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.6655,                 7.9343,                0.51817,                 2.0629,                 1.9346,                0.46896,                0.57846,                0.48414,                0.22929,                0.13179,                0.03571,                0.01819,                0.00183,                    nan,                 11.324,                  1.121,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                      6,                  1.684,                 8.0083,                  0.519,                 2.0058,                 1.9427,                0.56461,                0.59948,                0.58298,                0.27903,                0.08004,                0.10606,                0.03016,                0.00456,                    nan,                  11.34,                 1.0336,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.623,                  7.856,                0.50049,                 2.0145,                 1.8923,                0.53866,                0.58503,                0.63659,                0.31544,                0.11043,                0.03571,                0.01184,                0.00158,                    nan,                 11.308,                 1.5208,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                 1.6307,                 7.7205,                0.48679,                 1.9241,                 1.8704,                0.54947,                0.70116,                0.65306,                0.30394,                0.04756,                0.03571,                0.00614,                 0.0008,                    nan,                 11.337,                 1.4554,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.6023,                 7.8212,                0.49144,                 1.8527,                  1.886,                0.57253,                0.62287,                0.66885,                0.35071,                0.07578,                0.08279,                0.01856,                0.00229,                    nan,                 11.239,                 1.4233,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     10,                 1.5724,                 7.6829,                0.47983,                  1.834,                 1.8425,                0.55684,                0.62716,                0.60391,                0.28989,                0.02862,                0.02381,                0.00218,                0.00055,                    nan,                 11.318,                 1.5033,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
